Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1993,42505,30057,29238,18745,18155,38420,53382,98428,170825,79910,90375,45283
1994,40237,32129,28455,24806,28459,45723,40231,57081,51762,83361,68249,26092
1995,19342,9902,9894,32329,39371,95992,119093,119294,57187,70723,53173,40469
1996,30929,48325,27331,63916,35561,36882,82667,146632,153002,126912,44599,29618
1997,19724,10056,9660,9132,13921,17010,18592,28687,50746,23847,21460,9421
1998,10196,7827,4472,7342,18892,45679,55183,54224,64670,82435,49762,32272
1999,19919,11656,12666,12588,13906,30819,26740,52935,52052,38536,23954,22412
2000,24859,11588,9219,8393,24600,69715,52493,66550,118207,77049,69775,27461
2001,17150,10030,13065,14188,10552,26211,32579,67900,59512,62885,78318,33895
2002,23571,16581,12033,11464,19531,23862,57593,41405,41118,35824,21437,19683
2003,9552,7139,10111,13781,15280,29905,50153,95152,93038,80718,76284,27724
2004,15654,12155,7416,14214,16432,47631,62008,77523,80944,50638,86942,36447
2005,22641,27790,13013,10173,9694,17962,26390,56307,103252,48983,29746,23899
2006,11523,6248,6729,16814,22794,12077,18718,21994,19267,10956,10411,5806
2007,5443,5104,7696,6336,10945,57389,87411,62546,42969,33432,32304,20093
2008,11161,9972,6126,5548,11065,16718,36465,58633,37159,22440,32402,39539
2009,14242,5688,7972,10117,11267,14577,36025,41299,86680,94397,27036,19070
2010,14219,11329,13352,13565,19862,33544,42219,101097,125045,62210,60507,62080
2011,33674,31850,25442,32872,48439,78308,107604,66561,41330,55640,57766,53678
2012,27416,18394,32909,22027,38802,116924,88299,101830,103953,55612,30403,21353
2013,8405,7181,7727,8075,17475,36527,45924,108569,59029,60943,47817,34678
2014,16167,8642,9563,14762,19959,49105,112620,73046,42562,34843,22010,16317
2015,12088,8504,7788,12736,28950,20994,49164,74172,46825,21368,14112,9254
2016,11026,6058,8416,6288,16460,32751,81722,76009,60142,103961,45798,27455
2017,15366,12046,10047,15415,14964,15976,26772,74863,102691,42316,26215,47796
2018,16385,7666,7511,8018,18686,31480,48513,98927,55658,26273,29159,20142
2019,8927,6426,6776,8462,16273,33585,70848,103811,97348,40247,47224,23056
2020,23866,21717,18345,35114,84463,48950,74789,105965,62110,89755,40595,25960
2021,22556,13631,16736,17005,26834,107327,81397,78947,100576,102171,73802,35200
